,Adresse,City,E10,Gazole,Postal_Code,SP95,SP98,iD
5988,PARC D'ACTIVITE DE LA BAIE,AVRANCHES,Not available,"1,169",50300,"1,349","1,379",50
5989,BOULEVARD DU LUXEMBOURG,LE VAL-SAINT-PèRE,"1,425","1,279",50300,Not available,"1,535",50
5990,RUE DU GENERAL DE GAULLE,AVRANCHES,Not available,"1,229",50300,"1,419",Not available,50
5991, Avenue du Quesnoy,AVRANCHES,"1,329","1,169",50300,"1,359",Not available,50
5992,Lieu-dit Le Chêne au Loup,Ponts,Not available,"1,289",50300,"1,469",Not available,50
5993,Saint Martin des Champs Route d'Isigny le Buat,AVRANCHES,Not available,"1,169",50304,"1,359","1,399",50
5994,Lieu-dit Le Haut Gelé,Montebourg,Not available,"1,179",50310,"1,320","1,379",50
5995,Rue de la Libération,La Haye-Pesnel,Not available,"1,159",50320,"1,339","1,369",50
5996,139 Rue du Général de Gaulle,SAINT-PIERRE-ÉGLISE,Not available,"1,249",50330,"1,416","1,448",50
5997,RUE DES PAVILLONS,Saint-Pierre-Église,Not available,"1,159",50330,"1,330","1,419",50
5998,9 Route des Isles,PIERREVILLE,Not available,"1,320",50340,"1,480","1,510",50
5999,2 Route de Flamanville,LES PIEUX,"1,315","1,175",50340,"1,345","1,399",50
6000,26 route de Cherbourgtest,Les Pieux,Not available,"1,189",50340,"1,389","1,429",50
6001, Rue de la Gare,DONVILLE-LES-BAINS,Not available,"1,219",50350,"1,409","1,429",50
6002, Rue de Carneville,PICAUVILLE,"1,386","1,239",50360,Not available,"1,458",50
6003,Rue de la Libération,Picauville,Not available,"1,220",50360,"1,399",Not available,50
6004,5 Rue Jeanne d'Arc,BRéCEY,Not available,"1,169",50370,"1,359",Not available,50
6005,9 rue des Pélerins,BRéCEY,Not available,"1,219",50370,"1,389","1,409",50
6006,"6, Rue de la libération",BRECEY,Not available,Not available,50370,Not available,Not available,50
6007,6 rue de la liberation,Brécey,"1,409","1,272",50370,Not available,"1,519",50
6008,Route d'Avranches,SAINT-PAIR-SUR-MER,"1,315","1,175",50380,Not available,"1,415",50
6009,ROUTE DE PORTBAIL,Saint-Sauveur-le-Vicomte,Not available,"1,179",50390,"1,349","1,389",50
6010,ZI RN 24 BIS,Granville,"1,408","1,279",50400,Not available,"1,518",50
6011,Route de Villedieu,GRANVILLE,"1,309","1,169",50400,"1,345",Not available,50
6012, Rue Jean le Couturier,PERCY,Not available,"1,239",50410,"1,439",Not available,50
6013, Rue Jean le Couturier,PERCY,Not available,"1,169",50410,"1,329",Not available,50
6014,Lieu-dit La Vallée,Gouvets,"1,533","1,375",50420,Not available,"1,639",50
6015,Chemin de la Minoterie,Tessy-sur-Vire,Not available,"1,219",50420,"1,379",Not available,50
6016,94 Rue Sainte-Croix,LESSAY,Not available,"1,320",50430,"1,460","1,510",50
6017,1 rue Tanguiers ,LESSAY,"1,319","1,179",50430,"1,339",Not available,50
6018,Parc Mairie Gardin,Beaumont-Hague,"1,305","1,171",50440,"1,366",Not available,50
6019,"25, rue de l'hotel saint denis",GAVRAY,Not available,"1,179",50450,"1,339","1,379",50
6020,"5, rue des Claires",QUERQUEVILLE,"1,305","1,171",50460,"1,366","1,400",50
6021,Centre Commercial du Cotentin,La Glacerie,Not available,"1,175",50470,"1,345","1,420",50
6022,LES FORGES,BLOSVILLE,"1,415","1,284",50480,Not available,"1,525",50
6023,Les Crutelles,SAINTE-MèRE-ÉGLISE,Not available,"1,142",50480,"1,319","1,359",50
6024,Route de Saint-Côme,CARENTAN,"1,315","1,165",50500,Not available,"1,399",50
6025,ROUTE NATIONALE 13,Les Veys,"1,394","1,284",50500,Not available,"1,494",50
6026,Chemin de la Chuque,CARENTAN,Not available,"1,124",50500,"1,286","1,320",50
6027,Chemin de Pommenauque,CARENTAN,Not available,"1,169",50500,"1,379","1,408",50
6028,RUE DE LA GUINGUETTE,CARENTAN,"1,334","1,175",50500,"1,379",Not available,50
6029,rue de l'avenir,Saint-Hilaire-Petitville,"1,244","1,124",50500,"1,286",Not available,50
6030,Rue de la Gabelle,CéRENCES,"1,299","1,175",50510,"1,359","1,369",50
6031,route de carolles,SARTILLY,Not available,"1,159",50530,"1,365","1,395",50
6032,Route de Quettehou,Saint-Vaast-la-Hougue,Not available,Not available,50550,Not available,Not available,50
6033,Chemin amour ZA les landelles,BLAINVILLE-SUR-MER,Not available,"1,181",50560,"1,342","1,391",50
6034,rue du hameau laisney,Gouville-sur-Mer,"1,302","1,165",50560,"1,342",Not available,50
6035,36 Rue du 8 Mai 1945,Marigny,Not available,"1,260",50570,"1,460","1,490",50
6036,RUE DE LA CHAPONIERE,MARIGNY,Not available,"1,185",50570,"1,385","1,415",50
6037,23 RUE DU PERE ALBERT,PORTBAIL,Not available,"1,185",50580,"1,385","1,415",50
6038,3 rue du clos,Montmartin-sur-Mer,Not available,"1,179",50590,"1,339","1,373",50
