,Adresse,City,Postal_Code,iD
6036, Route de Vire,VILLEDIEU-LES-POêLES,50800,50
6037,63 RUE DE LA LIBERATION,Pont-Hébert,50880,50
6038,10 RUE ARGANCHY,CONDé-SUR-VIRE,50890,50
6039,avenue du président Roosevelt,CHâLONS-EN-CHAMPAGNE,51000,51
6040,136 Avenue du Général Maurice Sarrail,Châlons-en-Champagne,51000,51
6041,ROUTE D'EPERNAY,Châlons-en-Champagne,51000,51
6042,PLACE DE VERDUN,Châlons-en-Champagne,51000,51
6043,77 Faubourg Saint-Antoine,CHâLONS-EN-CHAMPAGNE,51000,51
6044,Avenue du Mont-Héry,CHALONS-EN-CHAMPAGNE,51000,51
6045,Rue François,Châlons-en-Champagne,51000,51
6046,RN 44 - ROUTE DE VITRY LE FRANC,CHALONS EN CHAMPAGNE,51000,51
6047,16 route de cernay,REIMS,51067,51
6048,1 RUE FRANCIS GARNIER,REIMS,51068,51
6049,5 Avenue Georges Clemenceau,REIMS,51100,51
6050,47 Rue Gosset,Reims,51100,51
6051,31 Rue de Neufchâtel,REIMS,51100,51
6052,252 Avenue Jean Jaurès,REIMS,51100,51
6053,55 Boulevard Dauphinot,Reims,51100,51
6054,140 Rue de Louvois,Reims,51100,51
6055,2 Rue Albert Thomas,REIMS,51100,51
6056,11 Boulevard Saint-Marceaux,Reims,51100,51
6057,50 Rue Cérès,Reims,51100,51
6058,12 Avenue Brebant,REIMS,51100,51
6059,RN 44 - 114 AVENUE NATIONALE,REIMS,51100,51
6060,ZAC DE SAINT LEONARD  RN44,Reims,51100,51
6061,360 AVENUE DE LAON,REIMS,51100,51
6062,31 Rue de Neufchâtel,Reims,51100,51
6063,RN44 ZI SAINT LEONARD,Reims,51100,51
6064,Route de BISSEUIL,TOURS SUR MARNE,51100,51
6065,58 Boulevard du Président Wilson,Reims,51100,51
6066,12 Avenue Brebant,REIMS,51100,51
6067,Chemin de Saint-Léonard,Reims,51100,51
6068,2 Rue Armand Bouxin,Reims,51100,51
6069,252 Avenue Jean Jaurès,Reims,51100,51
6070,55 BLD DAUPHINOT,REIMS,51100,51
6071,"360, AVENUE DE LAON",REIMS,51100,51
6072,"252 BIS, AVENUE JEAN JAURES",REIMS,51100,51
6073,140 RUE DE LOUVOIS,REIMS,51100,51
6074,2 RUE ALBERT THOMAS RN 51,REIMS,51100,51
6075,"12, AVENUE BREBANT",REIMS,51100,51
6076,ZAC du Val des Bois,Warmeriville,51110,51
6077,7 Avenue Jean Jaurès,SéZANNE,51120,51
6078,ROUTE D ESTERNAYMURS VERDEY,MOEURS-VERDEY,51120,51
6079, Route de Troyes,SéZANNE,51120,51
6080,ROUTE NATIONALE 4,MOEURS VERDEY,51120,51
6081,AVENUE DU GENERAL DE GAULLE,VERTUS,51130,51
6082,AUT A 4  AIRE DE GUEUX,GUEUX,51140,51
6083,121 rn 31,JONCHERY-SUR-VESLE,51140,51
6084,RN31,Muizon,51140,51
6085,ROUTE D'EPERNAY,AY,51160,51
6086,RUE DE LA GARE,FISMES,51170,51
6087,RN 31 - CROIX ROUGE,FISMES,51170,51
6088,Route de Soissons,FISMES,51170,51
6089,RD9 CHEMIN DU PARADIS,AVIZE,51190,51
6090,13 Quai de Marne,ÉPERNAY,51200,51
6091,16 Avenue Paul Chandon,ÉPERNAY,51200,51
6092,13 Boulevard de la Motte,ÉPERNAY,51200,51
6093,34 Avenue Jean Jaurès,Épernay,51200,51
6094,Les Rechignons DIZY,ÉPERNAY,51200,51
6095,13 BLD DE LA MOTTE,EPERNAY,51200,51
6096,RUE DU FAUBOURG DE CONDE,MONTMIRAIL,51210,51
6097, Rue Faubourg de Paris,MONTMIRAIL,51210,51
6098,10 Rue du Faubourg de Condé,Montmirail,51210,51
6099,RD 933 FAUBOURG DE PARIS,MONTMIRAIL,51210,51
6100,38 Rue Franklin Roosevelt,CORMICY,51220,51
6101,189 AVENUE PASTEUR,FèRE-CHAMPENOISE,51230,51
6102,Les Bas des Vieux Vins,CONNANTRE,51230,51
6103,RN44,Pogny,51240,51
6104,38 rue de Sezanne,Anglure,51260,51
6105,38 rue de Sézanne,Anglure,51260,51
6106, Rue du Faubourg du Hamois,VITRY-LE-FRANçOIS,51300,51
6107,208 AVENUE DE CHAMPAGNE,FRIGNICOURT,51300,51
6108,"16, faubourg Léon Bourgeois",VITRY-LE-FRANçOIS,51300,51
6109,16 Faubourg Léon Bourgeois,VITRY-LE-FRANCOIS,51300,51
6110,FAUBOURG DE CHALONS,VITRY LE FRANCOIS,51300,51
6111,16 FBG LEON BOURGEOIS,VITRY LE FRANCOIS,51300,51
6112,Route de Vitry en Perthois,Vitry-le-François,51303,51
6113,100 Rue des Limonières,Esternay,51310,51
6114,AUT A 26  AIRE DE SOMMESOUS,SOMMESOUS,51320,51
6115,CE 194 - RN 4,SOMMESOUS,51320,51
6116,ROUTE NATIONALE 4,SOMMESOUS,51320,51
6117,Avenue de la Gare,GIVRY-EN-ARGONNE,51330,51
6118,32 Avenue du Bois du Roi,Pargny-sur-Saulx,51340,51
6119,32 AVENUE DU BOIS DU ROI,Pargny-sur-Saulx,51340,51
6120,Route de louvois,CORMONTREUIL,51350,51
6121,14 ROUTE NATIONALE,Beaumont-sur-Vesle,51360,51
6122,La Croix MaurencienneZone Industrielle de St-Brice,SAINT-BRICE-COURCELLES,51370,51
6123,Rue du Bas Volet,Les Mesneux,51370,51
6124,Route de Reims,SAINT-BRICE-COURCELLES,51370,51
6125,AUT A 4  AIRE DE VRIGNY,VRIGNY,51390,51
6126,Aire de Gueux A4,Gueux,51390,51
6127,Autoroute de l'Est,LES PETITES-LOGES,51400,51
6128, Autoroute de l'Est,LES PETITES-LOGES,51400,51
6129,13 place Clemenceau,MOURMELON-LE-GRAND,51400,51
6130,Rue des Tournières,Mourmelon-le-Grand,51400,51
6131, Autoroute de l'Est,LES PETITES-LOGES,51400,51
6132,Autoroute de l'Est,Les Petites-Loges,51400,51
6133,Autoroute de l'Est,Les Petites-Loges,51400,51
6134,Boulevard Charles de Gaulle,WITRY-LèS-REIMS,51420,51
6135,331 Avenue de Laon,Reims,51430,51
6136,RN 31,TINQUEUX,51430,51
6137,44 Avenue du 29 Août 1944,Tinqueux,51430,51
6138,Rue Jules Lobet,PIERRY,51430,51
6139,36 Bis AV P VAILLANT COUTURIER,Tinqueux,51430,51
